doi_origem,doi_referencia,titulo_referencia,ano_referencia,fontes,n_fontes
10.1109/access.2024.3401547,10.1126/science.aal5054,Human-in-the-loop optimization of exoskeleton assistance during walking,2017,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1016/j.ijhcs.2017.03.007,"The human touch: How non-expert users perceive, interpret, and fix topic models",2017,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/thms.2017.2674998,Takeover Requests in Simulated Partially Autonomous Vehicles Considering Human Factors,2017,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1007/s11263-020-01303-4,Deep Image Prior,2017,s2,1
10.1109/access.2024.3401547,10.1186/s12911-018-0631-9,Towards improving diagnosis of skin diseases by combining deep neural network and human knowledge,2018,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1007/s10489-018-1361-5,Interactive machine learning: experimental evidence for the human in the algorithmic loop,2018,crossref;openalex,2
10.1109/access.2024.3401547,10.1145/3209889.3209897,Accelerating Human-in-the-loop Machine Learning,2018,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/cvpr.2018.00976,The Power of Ensembles for Active Learning in Image Classification,2018,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1007/978-3-030-01252-6_6,Image Inpainting for Irregular Holes Using Partial Convolutions,2018,crossref;openalex;opencitations,3
10.1109/access.2024.3401547,10.1609/hcomp.v6i1.13337,Towards Accountable AI: Hybrid Human-Machine Analyses for Characterizing System Failure,2018,crossref;opencitations;s2,3
10.1109/access.2024.3401547,10.1162/tacl_a_00279,Trick Me If You Can: Human-in-the-Loop Generation of Adversarial Examples for Question Answering,2018,crossref;opencitations;s2,3
10.1109/access.2024.3401547,10.1145/3172944.3172965,Closing the Loop,2018,crossref;openalex;opencitations,3
10.1109/access.2024.3401547,10.1145/3185517,A Review of User Interface Design for Interactive Machine Learning,2018,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1111/mice.12495,A deep learning algorithm for simulating autonomous driving considering prior knowledge and temporal information,2019,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.18653/v1/p19-1637,Why Didn’t You Listen to Me? Comparing User Control of Human-in-the-Loop Topic Models,2019,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/cvpr.2019.00018,Learning Loss for Active Learning,2019,crossref;opencitations;s2,3
10.1109/access.2024.3401547,10.1609/hcomp.v7i1.5282,AI-Based Request Augmentation to Increase Crowdsourcing Participation,2019,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1016/j.neucom.2020.04.071,Fast video crowd counting with a Temporal Aware Network,2019,crossref;opencitations;s2,3
10.1109/access.2024.3401547,10.1109/cw.2019.00070,Automatic Image Enhancement Taking into Account User Preference,2019,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/cvpr.2019.00539,Fast User-Guided Video Object Segmentation by Interaction-And-Propagation Networks,2019,crossref;opencitations;s2,3
10.1109/access.2024.3401547,10.1145/3290605.3300234,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making,2019,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1145/3287560.3287590,On Human Predictions with Explanations and Predictions of Machine Learning Models,2019,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1609/hcomp.v7i1.5285,Beyond Accuracy: The Role of Mental Models in Human-AI Team Performance,2019,crossref;openalex;opencitations,3
10.1109/access.2024.3401547,10.1145/3359206,"""Hello AI"": Uncovering the Onboarding Needs of Medical Practitioners for Human-AI Collaborative Decision-Making",2019,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1038/s41746-019-0198-6,Author Correction: Human–machine partnership with artificial intelligence for chest radiograph diagnosis,2019,crossref;openalex;opencitations,3
10.1109/access.2024.3401547,10.1007/978-3-030-30490-4_9,Targeted Sentiment Classification with Attentional Encoder Network,2019,crossref;openalex;opencitations,3
10.1109/access.2024.3401547,10.18653/v1/d19-3020,Journalist-in-the-Loop: Continuous Learning as a Service for Rumour Analysis,2019,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1609/aaai.v33i01.33012547,Interactive Semantic Parsing for If-Then Recipes via Hierarchical Reinforcement Learning,2019,crossref;openalex;opencitations,3
10.1109/access.2024.3401547,10.18653/v1/d19-1547,Model-based Interactive Semantic Parsing: A Unified Framework and A Text-to-SQL Case Study,2019,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.18653/v1/p19-1358,"Learning from Dialogue after Deployment: Feed Yourself, Chatbot!",2019,crossref;opencitations;s2,3
10.1109/access.2024.3401547,10.1109/tii.2019.2939263,Adaptive Leader–Follower Formation Control of Nonholonomic Mobile Robots With Prescribed Transient and Steady-State Performance,2019,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/tcds.2019.2954289,Human-in-the-Loop Control Strategy of Unilateral Exoskeleton Robots for Gait Rehabilitation,2019,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/tnsre.2019.2953588,Prediction of Ankle Dorsiflexion Moment by Combined Ultrasound Sonography and Electromyography,2019,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1101/644146,A “Human-in-the-Loop” Approach for Semi-automated Image Restoration in Electron Microscopy,2019,openalex;s2,2
10.1109/access.2024.3401547,10.48550/arxiv.1909.08593,Fine-Tuning Language Models from Human Preferences,2019,openalex,1
10.1109/access.2024.3401547,10.48550/arxiv.1909.00626,Uncertainty-Driven Semantic Segmentation through Human-Machine\n Collaborative Learning,2019,openalex,1
10.1109/access.2024.3401547,10.1038/s41746-019-0189-7,Human–machine partnership with artificial intelligence for chest radiograph diagnosis,2019,s2,1
10.1109/access.2024.3401547,10.18653/v1/n19-1423,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,2019,s2,1
10.1109/access.2024.3401547,10.1109/tpami.2019.2963663,LayoutGAN: Synthesizing Graphic Layouts With Vector-Wireframe Adversarial Networks,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1016/j.inffus.2020.08.023,Heterogeneous data fusion for predicting mild cognitive impairment conversion,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/tpami.2020.2964173,Deep Residual Correction Network for Partial Domain Adaptation,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/cvpr42600.2020.00510,DeepCap: Monocular Human Performance Capture Using Weak Supervision,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1609/aaai.v34i01.5389,Weak Supervision for Fake News Detection via Reinforcement Learning,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1007/978-3-030-58542-6_20,Deep Hough-Transform Line Priors,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1007/s10994-020-05903-6,Ada-boundary: accelerating DNN training via adaptive boundary batch selection,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/tnnls.2020.3011559,Human-in-the-Loop Low-Shot Learning,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/tiv.2020.3037955,Cooperative Control Framework for Human Driver and Active Rear Steering System to Advance Active Safety,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1145/3377325.3377509,Draw with me,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/tpami.2021.3059968,Image Segmentation Using Deep Learning: A Survey,2020,crossref;opencitations;s2,3
10.1109/access.2024.3401547,10.1109/icassp40776.2020.9053555,Human-Machine Collaboration for Medical Image Segmentation,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1145/3391743,Video Object Segmentation and Tracking,2020,crossref;openalex;opencitations,3
10.1109/access.2024.3401547,10.1145/3313831.3376718,A Human-Centered Evaluation of a Deep Learning System Deployed in Clinics for the Detection of Diabetic Retinopathy,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1038/s41591-020-0942-0,Human–computer collaboration for skin cancer recognition,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.3390/app10030957,Targeted Sentiment Classification Based on Attentional Encoding and Graph Convolutional Networks,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1007/s11042-020-10107-0,Multi-head self-attention based gated graph convolutional networks for aspect-based sentiment classification,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/taslp.2020.3042009,Investigating Typed Syntactic Dependencies for Targeted Sentiment Classification Using Graph Attention Neural Network,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1080/17521440.2020.1760454,Banking on AI: mandating a proactive approach to AI regulation in the financial sector,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1016/j.jmsy.2020.01.002,A human-in-the-loop manufacturing control architecture for the next generation of production systems,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1145/3313831.3376638,A Case for Humans-in-the-Loop: Decisions in the Presence of Erroneous Algorithmic Scores,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1145/3397271.3401452,"When the Human is in the Loop: Cost, Effort and Behavior",2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1145/3392878,"Human Factors in Model Interpretability: Industry Practices, Challenges, and Needs",2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.18653/v1/2021.spnlp-1.4,Offline Reinforcement Learning from Human Feedback in Real-World Sequence-to-Sequence Tasks,2020,crossref;opencitations;s2,3
10.1109/access.2024.3401547,10.1109/tnnls.2020.2984944,Performance Guaranteed Consensus Tracking Control of Nonlinear Multiagent Systems: A Finite-Time Function-Based Approach,2020,crossref;openalex;opencitations,3
10.1109/access.2024.3401547,10.1109/tsmc.2019.2960009,Annular Domain Finite-Time Connective Control for Large-Scale Systems With Expanding Construction,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/tvt.2020.3039220,Adaptive Fuzzy Backstepping-Based Formation Control of Unmanned Surface Vehicles With Unknown Model Nonlinearity and Actuator Saturation,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/tits.2020.2969444,Human Behavior Model-Based Predictive Control of Longitudinal Brain-Controlled Driving,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/tits.2020.3036984,Human-Like Decision Making for Autonomous Driving: A Noncooperative Game Theoretic Approach,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/mcom.001.2000050,Explainable Artificial Intelligence for 6G: Improving Trust between Human and Machine,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1145/3386569.3392409,Human-in-the-loop differential subspace search in high-dimensional latent space,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/mcs.2020.3019725,Human-in-the-Loop Robot Control for Human-Robot Collaboration: Human Intention Estimation and Safe Trajectory Tracking Control for Collaborative Tasks,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/tcst.2019.2959542,Resilient Flight Control: An Architecture for Human Supervision of Automation,2020,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1016/j.cosrev.2021.100379,A survey on deep learning and its applications,2021,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1016/j.neucom.2021.03.035,A survey: Deep learning for hyperspectral image classification with few labeled samples,2021,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1016/j.media.2021.102062,A survey on active learning and human-in-the-loop deep learning for medical image analysis,2021,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1007/s00146-020-01123-7,"Where is the human got to go? Artificial intelligence, machine learning, big data, digitalisation, and human–robot interaction in industry 4.0 and 5.0: Review comment on: Bauer, M. (2020). preise Kalkulieren mit KI-Gestutzter onlineplattform BAM GmbH, Weiden, Bavaria, Germany",2021,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1145/3472291,A survey of deep active learning,2021,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/iotais53735.2021.9628587,System configuration of Human-in-the-loop Simulation for Level 3 Autonomous Vehicle using IPG CarMaker,2021,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1002/aisy.202000229,Human–Machine Collaboration for Automated Driving Using an Intelligent Two‐Phase Haptic Interface,2021,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1007/978-3-030-82681-9_9,Visual Intelligence through Human Interaction,2021,crossref;openalex;opencitations,3
10.1109/access.2024.3401547,10.1016/j.ins.2021.07.020,Document image layout analysis via explicit edge embedding network,2021,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.18653/v1/2021.naacl-industry.22,When and Why a Model Fails? A Human-in-the-loop Error Detection Framework for Sentiment Analysis,2021,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1609/aaai.v35i7.16734,MARTA: Leveraging Human Rationales for Explainable Text Classification,2021,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/tvcg.2021.3114837,Human-in-the-loop Extraction of Interpretable Concepts in Deep Learning Models,2021,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/tnnls.2021.3071727,Reinforcement Learning Control of Robotic Knee With Human-in-the-Loop by Flexible Policy Iteration,2021,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1007/s00170-021-06977-9,Smart technology–driven aspects for human-in-the-loop smart manufacturing,2021,crossref;openalex;opencitations,3
10.1109/access.2024.3401547,10.1109/tnnls.2021.3100147,Distributed Path Following of Multiple Under-Actuated Autonomous Surface Vehicles Based on Data-Driven Neural Predictors via Integral Concurrent Learning,2021,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.5281/zenodo.6371435,Explainable Artificial Intelligence (XAI),2021,openalex,1
10.1109/access.2024.3401547,10.3389/fmtec.2022.951643,Toward sustainability and resilience with Industry 4.0 and Industry 5.0,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1016/j.future.2022.05.014,A survey of human-in-the-loop for machine learning,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.36897/jme/147160,Operator 5.0: A Survey on Enabling Technologies and a Framework for Digital Manufacturing Based on Extended Reality,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.3390/data7070093,The Role of Human Knowledge in Explainable AI,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1007/s10462-022-10246-w,Human-in-the-loop machine learning: a state of the art,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/tiv.2022.3165931,Human-Oriented Online Driving Authority Optimization for Driver-Automation Shared Steering Control,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1016/j.eng.2022.05.017,Toward Human-in-the-Loop AI: Enhancing Deep Reinforcement Learning via Real-Time Human Guidance for Autonomous Driving,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1073/pnas.2115730119,Socially situated artificial intelligence enables learning from human interaction,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1007/s10994-021-06110-7,Troubleshooting image segmentation models with human-in-the-loop,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1073/pnas.2111547119,Bayesian modeling of human–AI complementarity,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/idsta55301.2022.9923043,Integrating Human-in-the-loop into Swarm Learning for Decentralized Fake News Detection,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1145/3533271.3561705,Mapping of Financial Services datasets using Human-in-the-Loop,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/icbats54253.2022.9759038,How Artificial Intelligence Is Promoting Financial Inclusion? A Study On Barriers Of Financial Inclusion,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1016/j.eswa.2022.118083,Continental generalization of a human-in-the-loop AI system for clinical seizure recognition,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1145/3488560.3510011,Challenges in Data Production for AI with Human-in-the-Loop,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1080/10447318.2022.2041900,Transitioning to Human Interaction with AI Systems: New Challenges and Opportunities for HCI Professionals to Enable Human-Centered AI,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/tits.2022.3208004,A Novel Heterogeneous Network for Modeling Driver Attention With Multi-Level Visual Content,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/tnnls.2022.3166531,Event-Based Finite-Time Neural Control for Human-in-the-Loop UAV Attitude Systems,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/itsc55140.2022.9921872,Safe Decision-making for Lane-change of Autonomous Vehicles via Human Demonstration-aided Reinforcement Learning,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/tiv.2022.3165178,Robust Lane Change Decision Making for Autonomous Vehicles: An Observation Adversarial Reinforcement Learning Approach,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/tiv.2022.3163458,Driver Anomaly Quantification for Intelligent Vehicles: A Contrastive Learning Approach With Representation Clustering,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/mvt.2021.3140047,Toward Human-Centered Automated Driving: A Novel Spatiotemporal Vision Transformer-Enabled Head Tracker,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/tvt.2022.3172870,RHONN Modelling-Enabled Nonlinear Predictive Control for Lateral Dynamics Stabilization of an In-Wheel Motor Driven Vehicle,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1002/aisy.202100211,Human‐Like Interactive Behavior Generation for Autonomous Vehicles: A Bayesian Game‐Theoretic Approach with Turing Test,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1038/s41562-022-01383-x,Human-centred mechanism design with Democratic AI,2022,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/lra.2022.3144519,Human-in-the-Loop Weight Compensation in Upper Limb Wearable Robots Towards Total Muscles’ Effort Minimization,2022,crossref;openalex;opencitations,3
10.1109/access.2024.3401547,10.48550/arxiv.2202.10564,Human-in-the-loop Machine Learning: A Macro-Micro Perspective,2022,openalex,1
10.1109/access.2024.3401547,10.48550/arxiv.2206.02231,Models of human preference for learning reward functions,2022,openalex;s2,2
10.1109/access.2024.3401547,10.6017/ital.v41i2.14683,Explainable Artificial Intelligence (XAI),2022,s2,1
10.1109/access.2024.3401547,10.1016/j.procs.2022.12.206,"Industry 4.0 vs. Industry 5.0: Co-existence, Transition, or a Hybrid",2023,crossref;openalex;opencitations,3
10.1109/access.2024.3401547,10.1109/jproc.2023.3238524,Object Detection in 20 Years: A Survey,2023,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1145/3580815,Genie in the Model,2023,crossref;openalex;opencitations,3
10.1109/access.2024.3401547,10.1109/wacv56688.2023.00583,Human-in-the-Loop Video Semantic Segmentation Auto-Annotation,2023,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1145/3581783.3612673,CFTF: Controllable Fine-grained Text2Face and Its Human-in-the-loop Suspect Portraits Application,2023,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1016/j.rcim.2023.102673,Learning by doing: A dual-loop implementation architecture of deep active learning and human-machine collaboration for smart robot vision,2023,crossref;openalex;opencitations,3
10.1109/access.2024.3401547,10.1145/3544548.3580694,Augmenting Pathologists with NaviPath: Design and Evaluation of a Human-AI Collaborative Navigation System,2023,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1038/s42256-022-00593-2,Human–AI collaboration enables more empathic conversations in text-based peer-to-peer mental health support,2023,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1016/j.artmed.2023.102506,"Rams, hounds and white boxes: Investigating human–AI collaboration protocols in medical diagnosis",2023,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/tvcg.2023.3247092,A Video-Based Augmented Reality System for Human-in-the-Loop Muscle Strength Assessment of Juvenile Dermatomyositis,2023,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/iccv51070.2023.02040,Agile Modeling: From Concept to Classifier in Minutes,2023,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.18653/v1/2023.findings-acl.758,Nano: Nested Human-in-the-Loop Reward Learning for Few-shot Language Model Control,2023,crossref;openalex;opencitations,3
10.1109/access.2024.3401547,10.1016/j.knosys.2023.110723,A semi-automatic annotation methodology that combines Summarization and Human-In-The-Loop to create disinformation detection resources,2023,crossref;openalex;opencitations,3
10.1109/access.2024.3401547,10.1145/3583780.3615485,MArBLE: Hierarchical Multi-Armed Bandits for Human-in-the-Loop Set Expansion,2023,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1016/j.engappai.2023.107152,Applying Human-in-the-Loop to construct a dataset for determining content reliability to combat fake news,2023,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.3390/systems11110548,Constructing Ethical AI Based on the “Human-in-the-Loop” System,2023,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.4230/lipics.itp.2023.19,Inline Hardware KV-Cache Compression for Long-Context Transformer Inference: An Architectural Case for a Memory-Path Compression Engine,2023,openalex,1
10.1109/access.2024.3401547,10.1109/tits.2023.3339125,Adaptive Leading Cruise Control in Mixed Traffic Considering Human Behavioral Diversity,2023,openalex;s2,2
10.1109/access.2024.3401547,10.48550/arxiv.2307.15217,Open Problems and Fundamental Limitations of Reinforcement Learning from Human Feedback,2023,openalex,1
10.1109/access.2024.3401547,10.48550/arxiv.2312.14925,A Survey of Reinforcement Learning from Human Feedback,2023,openalex;s2,2
10.1109/access.2024.3401547,10.48550/arxiv.2304.03368,From Explanation to Action: An End-to-End Human-in-the-loop Framework for Anomaly Reasoning and Management,2023,openalex;s2,2
10.1109/access.2024.3401547,10.48550/arxiv.2301.09908,Cross-lingual German Biomedical Information Extraction: from Zero-shot to Human-in-the-Loop,2023,openalex;s2,2
10.1109/access.2024.3401547,10.48550/arxiv.2311.11981,H-COAL: Human Correction of AI-Generated Labels for Biomedical Named Entity Recognition,2023,openalex;s2,2
10.1109/access.2024.3401547,10.1613/jair.1.15348,"Human-in-the-Loop Reinforcement Learning: A Survey and Position on Requirements, Challenges, and Opportunities",2024,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1109/access.2023.3346917,Sensing-Aware Deep Reinforcement Learning With HCI-Based Human-in-the-Loop Feedback for Autonomous Nonlinear Drone Mobility Control,2024,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1016/j.commtr.2024.100127,Human as AI mentor: Enhanced human-in-the-loop reinforcement learning for safe and efficient autonomous driving,2024,crossref;openalex;opencitations;s2,4
10.1109/access.2024.3401547,10.1016/j.iot.2023.101048,Human-in-the-loop machine learning: Reconceptualizing the role of the user in interactive approaches,2024,crossref;openalex;opencitations,3
10.1109/access.2024.3401547,10.4018/979-8-3693-7822-9.ch012,Explainable Artificial Intelligence (XAI),2024,openalex,1
10.1109/access.2024.3401547,,Why do larger models generalize better? A theoretical perspective via the XOR problem,,crossref,1
10.1109/access.2024.3401547,,Learning deep features for scene recognition using places database,,crossref,1
10.1109/access.2024.3401547,,Differentiable augmentation for data-efficient GAN training,,crossref,1
10.1109/access.2024.3401547,,BERT: Pre-training of deep bidirectional transformers for language understanding,,crossref,1
10.1109/access.2024.3401547,,Improving language understanding by generative pre-training,2018,crossref,1
10.1109/access.2024.3401547,,Machine Learning,1997,crossref,1
10.1109/access.2024.3401547,,Human-in-the-loop learning from crowdsourcing and social media,2020,crossref,1
10.1109/access.2024.3401547,,Active learning literature survey,2009,crossref,1
10.1109/access.2024.3401547,,Uncertainty in deep learning. University of Cambridge,2016,crossref,1
10.1109/access.2024.3401547,,"Deep batch active learning by diverse, uncertain gradient lower bounds",,crossref,1
10.1109/access.2024.3401547,,BatchBALD: Efficient and diverse batch acquisition for deep Bayesian active learning,,crossref,1
10.1109/access.2024.3401547,,Deep reinforcement learning from human preferences,,crossref,1
10.1109/access.2024.3401547,,Dialogue learning with human-in-the-loop,,crossref,1
10.1109/access.2024.3401547,,Open problems and fundamental limitations of reinforcement learning from human feedback,2023,crossref,1
10.1109/access.2024.3401547,,A survey of reinforcement learning from human feedback,2023,crossref,1
10.1109/access.2024.3401547,,Models of human preference for learning reward functions,2022,crossref,1
10.1109/access.2024.3401547,,Explainable artificial intelligence (XAI),2017,crossref,1
10.1109/access.2024.3401547,,Adaptive leading cruise control in mixed traffic considering human behavioral diversity,2022,crossref,1
10.1109/access.2024.3401547,,VOCAL: Video organization and interactive compositional analytics,,crossref,1
10.1109/access.2024.3401547,,Efficient human-in-the-loop object detection using bi-directional deep SORT and annotation-free segment identification,,crossref,1
10.1109/access.2024.3401547,,Deep image prior,,crossref,1
10.1109/access.2024.3401547,,A `human-in-the-loop approach for semi-automated image restoration in electron microscopy,2019,crossref,1
10.1109/access.2024.3401547,,NICER: Aesthetic image enhancement with humans in the loop,,crossref,1
10.1109/access.2024.3401547,,Interactive video object segmentation in the wild,2017,crossref,1
10.1109/access.2024.3401547,,Uncertainty-driven semantic segmentation through human-machine collaborative learning,2019,crossref,1
10.1109/access.2024.3401547,,Interpretability beyond feature attribution: Quantitative testing with concept activation vectors (TCAV),,crossref,1
10.1109/access.2024.3401547,,H-COAL: Human correction of AI-generated labels for biomedical named entity recognition,2023,crossref,1
10.1109/access.2024.3401547,,Cross-lingual German biomedical information extraction: From zero-shot to human-in-the-loop,2023,crossref,1
10.1109/access.2024.3401547,,Fine-tuning language models from human preferences,2019,crossref,1
10.1109/access.2024.3401547,,Learning to summarize with human feedback,,crossref,1
10.1109/access.2024.3401547,,Putting humans in the natural language processing loop: A survey,,crossref,1
10.1109/access.2024.3401547,,From explanation to action: An end-to-end human-in-the-loop framework for anomaly reasoning and management,2023,crossref,1
10.1109/access.2024.3401547,,Regulating artificial intelligence in finance: Putting the human in the loop,2021,crossref,1
10.1109/access.2024.3401547,,Artificial intelligence in finance: Putting the human in the loop,2020,crossref,1
10.1109/access.2024.3401547,,Human-in-the-Loop Machine Learning: Active Learning and Annotation for Human-centered AI,2021,crossref,1
10.1109/access.2024.3401547,,Human-in-the-loop learning of interpretable and intuitive representations,,crossref,1
10.1109/access.2024.3401547,,Human-in-the-loop machine learning: A macro-micro perspective,2022,crossref,1
10.1109/access.2024.3401547,,Human-in-the-loop techniques in machine learning,2020,crossref,1
10.1109/access.2024.3401547,,"Closing the loop: Fast, interactive semi-supervised annotation with queries on features and instances",,crossref,1
10.1109/access.2024.3401547,,Automated modeling of human-in-the-loop systems,2021,crossref,1
10.1109/access.2024.3401547,,Dual representation for human-in-the-loop robot learning,2022,crossref,1
10.1109/access.2024.3401547,,Language models are few-shot learners,,crossref,1
10.1109/access.2024.3401547,,"The neuro-symbolic concept learner: Interpreting scenes, words, and sentences from natural supervision",,crossref,1
10.1109/access.2024.3401547,,Human factors and ergonomics in healthcare AI,2021,crossref,1
10.1109/access.2024.3401547,,Active Learning Literature Survey,2009,openalex,1
10.1109/access.2024.3401547,,Human-in-the-Loop Learning From Crowdsourcing and Social Media,2020,openalex,1
10.1109/access.2024.3401547,,Regulating Artificial Intelligence in Finance: Putting the Human in the Loop,2021,openalex,1
